Tweet,Sentiment
its four youre all UGLY,0
BobHerzog super duper ugly,0
Cant front she was ugly but that was the fattest ass in history lmao,0
ugly,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
KellyannePolls youre disgusting And ugly,0
Somebody come get lamxcna ugly ass????,0
bobfescoe  because his ugly wife harassed and threatened his victims Duh Vapid idiot,0
AlwaysHunteer JinkiBaem JinkWorld saintshinee ,1
RT bubblestbh rt if ur the ugly friend,0
Bill Gates the Ugly became Monarch of Australia in  2017,0
RT bruhitszach If youre reading this just know ??\n\nYou ugly and smell like moldy cheese\n\nIm playing love you ??,0
RT bloop someone will appreciate my ugly ass one day,0
RT JetBlackGuitar sorryvapor excuse me and my ugly ass eyebrows httpstcofylSLSWMVk,0
She so ugly proceeds to slide in dms ??,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
nothing worst than a ugly bitch who swear up and down she cute,0
RT wantjaylen Just bec they known please do not hype these little ugly kids heads up??,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
Congrats ugly ?? httpstcoaHcdkilOVK,0
Like boa we know that ugly bitch belong to you,0
RT bubblestbh rt if ur the ugly friend,0
RT bubblestbh rt if ur the ugly friend,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
SavageNation lies abt being denied Professr job do 2 affirmative action back thn Universites only hired all whitehttpstco2AkcbA0Ic7,0
RT carolinaaa56 i wanna see ugly god live,1
RT psychotbh 98 stress 2 ugly,0
Ps pants are ugly but cute at the same time lol but she slays httpstcoGsBlYHqDT9,1
TwistedTene25 tell mesh ugly ass i know she saw my text ????,0
RT lexyrichardsonn taking pics with ur friends is hard when theyre solid 10s and ur ugly,1
HillaryClinton Im doing my part I purchased an old lumpy voodoo doll wearing an ugly green pantsuit I place a pin in it every night,1
RT hatelynn when youre the ugly fish but your fits are always fresh so youre still cute httpstcoMLqbgfeMqu,1
RT ddaeeeee why ugly bitches be the ones to talk the most shit,0
BTUArmy ugly Christmas sweater idea httpstcocnNLht0sUo,0
RT HeidiSomers Dont waste your beautiful mind doing ugly things,1
Well if anybody needs an extra roommate toriknyszek13 is available she just called my dog ugly so Im officially kicking her out,1
I was fw that nigga back then when he was ugly af amp he still switched up ??,0
RT AdorableWords arrives home ahh good now i can be ugly in peace,1
ZeZordYT 13 minutes lol,1
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
Game day tomorrow 1200 time for me to lock in ??3????,1
RT sofinee1 yall kids at MNW need to mind yall OWN damn business ugly asses ,0
RT bubblestbh rt if ur the ugly friend,0
lorensummer that spelling is ugly,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
RT whytruy Rihanna wouldnt dare to step out in that ugly ass outfit httpstcoVCDyfptRKz,0
RT bruhchance i might still be ugly but i used to be uglier,1
RT psychotbh 98 stress 2 ugly,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
becmoore66 you are not ugly you should not listen to people who say you are because they are only jealous of your beauty,1
RT psychotbh 98 stress 2 ugly,0
DavidHaugh Hes not even close to catching up w fastballs Ugly,0
It sucks being ugly,0
howardtayler my left amp right hemispheres are having a mini debate in my head right now about whether I want to watch it Its getting ugly,0
RT psychotbh 98 stress 2 ugly,0
Polkameister Again another stale lowinfo Canadian politico spills his watery factfree soup on that ugly Socialist tie fail,0
RT mustardbaby06 some guys called me ugly so if u see a video going viral of me calling them mop heads its bc they started it,0
I never was ugly though ??,1
RT Dutch Twitter be making me ugly laugh in public lmao,1
RT psychotbh 98 stress 2 ugly,0
Newsweek what an ugly sob,0
Ugly httpstco9cdqrEmiLr,0
RT SHAQ If u feel alone and by yourself look in the mirror and wow theres two of you  Be who you are Who are you I am me Ugly lo…,0
Some of these studs ugly af ????,0
RT linnyitssn Breitbart You gotta act Presidential\nDonald How long\nBreitbart The whole debate\nDonald Screw you Your mom is ugly…,0
RT femaIes I hate when I smile  someone and they dont smile back like ugh nvm ugly hoe,0
RT psychotbh 98 stress 2 ugly,0
RT FriendlyAssh0le rt if ur ugly,0
Fat Ugly Americans in Romania httpstcogvf1P1k8Wg via TheBSTravelers travel TravelSkills travelblogger,0
RT psychotbh 98 stress 2 ugly,0
RT psychotbh 98 stress 2 ugly,0
